species,pop.short,type.an.pop,alt.type,n,depth.mean,depth.median,depth.diff,depth.sd,depth.max,depth.min,type
melpomene,all,mel.ec.w.all,low,2,17.28,17.28,0,11.01672365,25.07,9.49,ec.w
erato,ama,era.co.w.ama,vlo,4,15.9525,15.695,0.2575,0.818428372,17.14,15.28,co.w
melpomene,ama,mel.co.w.ama,vlo,5,20,20.47,-0.47,6.144224931,27.99,10.71,co.w
erato,amz,era.co.e.amz,vlo,6,5.278333333,5.32,-0.041666667,0.212736143,5.46,4.88,co.e
melpomene,amz,mel.co.e.amz,vlo,1,14.63,14.63,0,NA,14.63,14.63,co.e
erato,ana,era.ec.e.ana,vlo,14,5.439285714,4.935,0.504285714,2.28104721,12.45,3.32,ec.e
melpomene,ana,mel.ec.e.ana,vlo,5,7.494,7.28,0.214,0.500629604,8.33,7.08,ec.e
melpomene,bae,mel.ec.e.bae,hig,10,5.79,6.005,-0.215,1.780686509,9.11,3.03,ec.e
melpomene,bar,mel.co.w.bar,low,1,8.07,8.07,0,NA,8.07,8.07,co.w
melpomene,bra,mel.co.w.bra,hig,16,21.335,24.565,-3.23,9.182910214,35.48,8.5,co.w
erato,cam,era.co.e.cam,hig,14,8.938571429,4.97,3.968571429,6.720242506,20.68,3.98,co.e
melpomene,cam,mel.co.e.cam,hig,17,12.98411765,9.11,3.874117647,8.725290868,27.86,3.15,co.e
melpomene,cau,mel.co.w.cau,low,7,14.49428571,11.92,2.574285714,7.291208992,30.97,10.75,co.w
erato,esc,era.co.e.esc,low,21,6.676190476,5.56,1.116190476,4.23663838,19.34,2.17,co.e
melpomene,esc,mel.co.e.esc,low,2,8.32,8.32,0,0.890954544,8.95,7.69,co.e
melpomene,fll,mel.co.e.fll,low,1,31.71,31.71,0,NA,31.71,31.71,co.e
erato,flo,era.co.e.flo,hig,4,37.65,39.54,-1.89,11.45894701,49.39,22.13,co.e
melpomene,flo,mel.co.e.flo,hig,8,25.8325,24.55,1.2825,6.481626229,35.15,15.46,co.e
melpomene,gua,mel.ec.w.gua,low,12,14.34916667,10.875,3.474166667,8.744627918,29.76,7.19,ec.w
erato,guz,era.co.e.guz,low,12,7.9625,5.34,2.6225,5.344001097,17.09,4.06,co.e
melpomene,guz,mel.co.e.guz,low,7,7.012857143,7.8,-0.787142857,3.176332866,10.78,1.16,co.e
erato,jat,era.ec.e.jat,low,33,9.77,5.28,4.49,9.029271842,34.81,4.07,ec.e
melpomene,jat,mel.ec.e.jat,low,25,8.114,6.82,1.294,6.936559546,32.46,0.84,ec.e
erato,lad,era.co.w.lad,vlo,16,5.021875,5.18,-0.158125,1.08139551,6.84,1.67,co.w
melpomene,lad,mel.co.w.lad,vlo,4,8.6625,8.635,0.0275,0.286050695,9.03,8.35,co.w
erato,let,era.co.e.let,vlo,16,14.0825,5.575,8.5075,13.32155972,35.89,4.51,co.e
melpomene,let,mel.co.e.let,vlo,7,11.61857143,11.08,0.538571429,3.917594622,19.62,7.94,co.e
erato,min,era.ec.w.min,hig,11,7.097272727,6.06,1.037272727,3.804749902,18.24,3.87,ec.w
melpomene,min,mel.ec.w.min,hig,1,9.59,9.59,0,NA,9.59,9.59,ec.w
erato,moc,era.co.e.moc,hig,6,7,4.94,2.06,5.595158622,18.35,3.74,co.e
erato,nar,era.ec.e.nar,hig,18,7.035,4.79,2.245,8.285056179,35.62,1.63,ec.e
melpomene,nar,mel.ec.e.nar,hig,7,7.755714286,7.67,0.085714286,2.846213023,11.6,2.71,ec.e
erato,pac,era.ec.w.pac,hig,20,8.2365,6.4,1.8365,4.588833443,17.82,4.61,ec.w
melpomene,pac,mel.ec.w.pac,hig,28,8.903928571,7.83,1.073928571,3.645560811,25.35,5.13,ec.w
erato,ped,era.co.w.ped,vlo,4,7.9775,8.015,-0.0375,0.26107151,8.22,7.66,co.w
melpomene,pot,mel.co.w.pot,vlo,13,21.17307692,25.94,-4.766923077,9.743802633,31.64,5.11,co.w
erato,pue,era.ec.w.pue,vlo,16,7.00375,5.6,1.40375,3.908180949,16.31,2.1,ec.w
erato,que,era.co.w.que,hig,21,12.43428571,6.39,6.044285714,11.26402928,39.88,4.72,co.w
melpomene,que,mel.co.w.que,hig,2,11.25,11.25,0,0.070710678,11.3,11.2,co.w
erato,rev,era.ec.e.rev,hig,14,6.845,5.235,1.61,5.057046493,16.35,1.27,ec.e
melpomene,rev,mel.ec.e.rev,hig,3,3.39,3.34,0.05,1.915489494,5.33,1.5,ec.e
melpomene,sum,mel.ec.e.sum,hig,5,6.304,6.81,-0.506,1.050133325,7.05,4.55,ec.e
erato,ton,era.ec.w.ton,vlo,22,11.28363636,11.565,-0.281363636,6.121330812,18.66,4.02,ec.w
erato,tor,era.ec.w.tor,low,32,7.2390625,5.67,1.5690625,4.478841555,18.39,2.5,ec.w
melpomene,tor,mel.ec.w.tor,low,11,9.775454545,7.69,2.085454545,9.41223179,37.62,1.79,ec.w
erato,yas,era.ec.e.yas,vlo,14,10.30428571,8.31,1.994285714,5.689808317,18.32,3.52,ec.e